# T12 timeline started 2026-09-17T19:48:09+02:00, boot e16b31b6-fad4-46cb-962a-df9b60acfeae
19:48:09  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789667287 level=on-mains percent=92 shutdown_at= ]
# T12 timeline started 2026-09-17T20:06:11+02:00, boot e16b31b6-fad4-46cb-962a-df9b60acfeae
20:06:11  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668366 level=on-mains percent=92 shutdown_at= ]
20:06:12  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668372 level=on-mains percent=92 shutdown_at= ]
20:06:13  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668372 level=on-mains percent=92 shutdown_at= ]
20:06:14  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668372 level=on-mains percent=92 shutdown_at= ]
20:06:15  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668372 level=on-mains percent=92 shutdown_at= ]
20:06:16  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668372 level=on-mains percent=92 shutdown_at= ]
20:06:17  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668377 level=on-mains percent=92 shutdown_at= ]
20:06:18  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668377 level=on-mains percent=92 shutdown_at= ]
20:06:19  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668377 level=on-mains percent=92 shutdown_at= ]
20:06:20  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668377 level=on-mains percent=92 shutdown_at= ]
20:06:21  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668377 level=on-mains percent=92 shutdown_at= ]
20:06:22  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668382 level=on-mains percent=92 shutdown_at= ]
20:06:23  shutdown=none  vendor=inactive,inactive  status=[version=1 updated=1789668382 level=on-mains percent=92 shutdown_at= ]
